t,x_filtered,y_filtered,yaw_filtered,x_gt,y_gt,yaw_gt,pos_error,yaw_error
0.0,4.6502274007144155,2.9997322165232454,-7.613350119649906e-05,4.6502274007144155,2.9997322165232454,-7.613350119649906e-05,0.0,0.0
0.03999999999999915,4.65022779909098,2.9997322164929154,-7.613359897295266e-05,4.650227799450569,2.9997322182353297,-7.613377883446918e-05,1.7791322032756124e-09,1.798615165225087e-10
0.07000000000000028,4.650228197479552,2.9997322164625846,-7.613369712777026e-05,4.650228198198486,2.99973221994741,-7.613405646217872e-05,3.5582121832062394e-09,3.5933440846057287e-10
0.09999999999999432,4.650228396678339,2.999732216447419,-7.613374634617739e-05,4.650228198198486,2.99973221994741,-7.613405646217872e-05,1.9851070999481923e-07,3.1011600133289043e-10
0.14000000000000057,4.650228795084918,2.9997322164170868,-7.613384506321194e-05,4.650228995729618,2.9997322233715584,-7.613461168728302e-05,2.007651869735443e-07,7.666240710822725e-10
0.1699999999999946,4.650229193503499,2.9997322163867537,-7.61339441541696e-05,4.650228995729618,2.9997322233715584,-7.613461168728302e-05,1.97897183999409e-07,6.675331134207985e-10
0.19999999999999574,4.65022939271729,2.9997322163715867,-7.613399383842631e-05,4.650229394512833,2.9997322250836267,-7.613488928419507e-05,8.895145475337254e-09,8.954457687626117e-10
0.23999999999999488,4.650229791153873,2.9997322163412523,-7.613409348449548e-05,4.650229793307814,2.9997322267956905,-7.613516687102995e-05,1.0674021739869785e-08,1.0733865344681511e-09
0.269999999999996,4.650230189602454,2.9997322163109166,-7.61341934991587e-05,4.65023019211456,2.999732228507751,-7.613544444779403e-05,1.2452848737509452e-08,1.2509486353279005e-09
0.29999999999999716,4.650230388831244,2.9997322162957487,-7.613424364349183e-05,4.65023019211456,2.999732228507751,-7.613544444779403e-05,1.9709537460903552e-07,1.2008043021976807e-09
0.3399999999999963,4.650230787297823,2.9997322162654116,-7.613434420660522e-05,4.650230590933074,2.999732230219807,-7.613572201449713e-05,1.9685995006253182e-07,1.377807891907233e-09
0.36999999999999744,4.650231185776397,2.9997322162350737,-7.613444513342768e-05,4.6502309897633545,2.9997322319318593,-7.613599957042295e-05,1.9664053958582484e-07,1.5544369952726154e-09
0.3999999999999986,4.650231385020182,2.9997322162199045,-7.613449573206407e-05,4.650231388605402,2.999732233643907,-7.613627711667694e-05,1.7789032376311753e-08,1.781384612872328e-09
0.4399999999999977,4.650231783516747,2.9997322161895648,-7.613459720023127e-05,4.650231787459217,2.9997322353559506,-7.613655465269937e-05,1.9567662367924188e-08,1.957452468100444e-09
0.46999999999999886,4.650232182025306,2.9997322161592246,-7.613469902722255e-05,4.6502321863248,2.9997322370679904,-7.613683217868748e-05,2.1346244119088938e-08,2.1331514649287897e-09
0.5,4.650232381284082,2.999732216144054,-7.613475007438905e-05,4.650232585202151,2.9997322387800263,-7.613710969461071e-05,2.0517057815899654e-07,2.3596202216674906e-09
0.5399999999999991,4.650232779810627,2.9997322161137125,-7.613485243561965e-05,4.650232984091269,2.9997322404920586,-7.61373872002182e-05,2.0573012546418227e-07,2.534764598547236e-09
0.5700000000000003,4.65023317834916,2.9997322160833697,-7.613495515123344e-05,4.650232984091269,2.9997322404920586,-7.61373872002182e-05,1.9578537361321642e-07,2.432048984754966e-09
0.5999999999999943,4.650233377622922,2.999732216068198,-7.613500664115688e-05,4.650233382992156,2.999732242204086,-7.613766469591428e-05,2.668170386261414e-08,2.658054757404666e-09
0.6400000000000006,4.650233776179438,2.9997322160378537,-7.613510988434865e-05,4.650233781904813,2.99973224391611,-7.613794218123623e-05,2.8460096326678326e-08,2.832296887582582e-09
0.6699999999999946,4.650234174747941,2.9997322160075086,-7.613521347748272e-05,4.650234180829238,2.9997322456281297,-7.613821965574804e-05,3.0238441900362215e-08,3.006178265316955e-09
0.6999999999999957,4.650234374036686,2.999732215992336,-7.613526540438994e-05,4.650234180829238,2.9997322456281297,-7.613821965574804e-05,1.9546712853922718e-07,2.954251358098397e-09
0.7399999999999949,4.650234772623165,2.9997322159619895,-7.613536951844066e-05,4.650234579765434,2.9997322473401455,-7.613849712035007e-05,1.9539368710218278e-07,3.1276019094191292e-09
0.769999999999996,4.650235171221627,2.9997322159316417,-7.61354739771046e-05,4.650234978713398,2.9997322490521574,-7.61387745746549e-05,1.953365994869742e-07,3.3005975503028846e-09
0.7999999999999972,4.650235370525352,2.9997322159164677,-7.613552633522244e-05,4.650235377673134,2.999732250764165,-7.61390520190473e-05,3.55732031818486e-08,3.525683824859467e-09
0.8399999999999963,4.650235769141787,2.999732215886119,-7.613563130814168e-05,4.65023577664464,2.9997322524761683,-7.613932945263576e-05,3.7351365409450613e-08,3.6981444940723104e-09
0.8699999999999974,4.650236167770203,2.999732215855769,-7.613573662212144e-05,4.6502361756279145,2.999732254188168,-7.613960687623131e-05,3.912948313694733e-08,3.8702541098703e-09
0.8999999999999986,4.650236367088903,2.9997322158405937,-7.613578940656493e-05,4.650236574622961,2.999732255900164,-7.613988429006878e-05,2.1136497951107384e-07,4.094883503854012e-09
0.9399999999999977,4.650236765735286,2.9997322158102424,-7.613589522813865e-05,4.650236574622961,2.999732255900164,-7.613988429006878e-05,1.952719196668473e-07,3.9890619301280504e-09
0.9699999999999989,4.650237164393648,2.9997322157798902,-7.613600138588791e-05,4.650236973629779,2.9997322576121555,-7.614016169356755e-05,1.9529667691580868e-07,4.160307679642304e-09
1.0,4.650237363727319,2.999732215764714,-7.61360545899957e-05,4.650237372648369,2.999732259324143,-7.61404390871347e-05,4.4463569110265715e-08,4.3844971390111275e-09
1.0399999999999991,4.650237762403645,2.99973221573436,-7.613616124956576e-05,4.6502377716787295,2.9997322610361263,-7.614071647057444e-05,4.624150981055165e-08,4.5552210086770165e-09
1.0700000000000003,4.650238161091944,2.9997322157040056,-7.613626824087047e-05,4.650238170720862,2.999732262748106,-7.614099384325471e-05,4.8019406752000746e-08,4.725602384243418e-09
1.0999999999999943,4.650238360440585,2.999732215688828,-7.613632186020166e-05,4.650238170720862,2.999732262748106,-7.614099384325471e-05,1.954690481142745e-07,4.6719830530461215e-09
1.1400000000000006,4.650238759146845,2.999732215658472,-7.613642934622175e-05,4.650238968840447,2.999732266172053,-7.614154855845608e-05,2.1569197628375523e-07,5.1192122343333415e-09
1.1699999999999946,4.650239157865077,2.9997322156281148,-7.613653715953558e-05,4.650238968840447,2.999732266172053,-7.614154855845608e-05,1.9566553183680592e-07,5.011398920501202e-09
1.1999999999999957,4.650239357228682,2.999732215612936,-7.613659118831703e-05,4.650239367917899,2.9997322678840206,-7.614182590070337e-05,5.335284113842532e-08,5.234712386337757e-09
1.2399999999999949,4.65023975596487,2.9997322155825774,-7.613669949012899e-05,4.650239767007123,2.9997322695959845,-7.614210323285684e-05,5.5130567596401725e-08,5.40374272784631e-09
1.269999999999996,4.650240154713027,2.999732215552218,-7.61368081152379e-05,4.650240166108119,2.999732271307944,-7.614238055456094e-05,5.690825144310258e-08,5.572439323045736e-09
1.2999999999999972,4.650240354091594,2.999732215537038,-7.613686254858462e-05,4.650240166108119,2.999732271307944,-7.614238055456094e-05,1.96082076807674e-07,5.5180059763267845e-09
1.3399999999999963,4.650240752857704,2.9997322155066772,-7.613697165597441e-05,4.650240565220892,2.9997322730198994,-7.61426578657938e-05,1.962532655182004e-07,5.686209819392627e-09
