t,x_filtered,y_filtered,yaw_filtered,x_gt,y_gt,yaw_gt,pos_error,yaw_error
0.0,4.650105938705606,2.9997316924305304,-7.604806227672736e-05,4.650105938705606,2.9997316924305304,-7.604806227672736e-05,0.0,0.0
0.030000000000001137,4.650105892270809,2.9997313269205064,-7.604832084944615e-05,4.650105938705606,2.9997316924305304,-7.604806227672736e-05,3.6844778189651973e-07,2.5857271879203836e-10
0.060000000000002274,4.6501068186044305,2.9997308249592747,-7.604863489023952e-05,4.650106333854851,2.9997316941439007,-7.604834306073748e-05,9.95220613052059e-07,2.918295020378327e-10
0.10000000000000142,4.650107387106995,2.999730795860195,-7.60489657806657e-05,4.650106729015776,2.999731695857267,-7.604862383441749e-05,1.114934429418117e-06,3.4194624821297977e-10
0.13000000000000256,4.65010737928483,2.999731181926147,-7.604931461185186e-05,4.650107124188382,2.9997316975706285,-7.604890459802267e-05,5.752942111214181e-07,4.1001382919002207e-10
0.16000000000000014,4.650107717177789,2.999730855160034,-7.604946720134845e-05,4.650107519372669,2.9997316992839864,-7.604918535143795e-05,8.669902611881737e-07,2.818499105031744e-10
0.20000000000000284,4.650108258316622,2.999730560008113,-7.60496355600088e-05,4.650107914568636,2.9997317009973394,-7.604946609454054e-05,1.1916455399866177e-06,1.694654682560118e-10
0.23000000000000043,4.650108411472122,2.999730172961527,-7.604984589620171e-05,4.650107914568636,2.9997317009973394,-7.604946609454054e-05,1.6068000866010375e-06,3.798016611633462e-10
0.26000000000000156,4.650108820099909,2.9997303736707996,-7.60499669473708e-05,4.650108309776284,2.999731702710688,-7.60497468271778e-05,1.4236492641224295e-06,2.2012019300127108e-10
0.3000000000000007,4.650109437380212,2.999730378598835,-7.605031830364821e-05,4.6501087049956125,2.999731704424032,-7.605002754905447e-05,1.5146615643831426e-06,2.9075459374123744e-10
0.33000000000000185,4.650109747212692,2.9997303213767865,-7.605054126263281e-05,4.650109100226622,2.9997317061373723,-7.605030826066372e-05,1.528447858024487e-06,2.330019690914304e-10
0.360000000000003,4.650110420096667,2.9997308432680776,-7.60507969092478e-05,4.650109495469314,2.999731707850708,-7.605058896203523e-05,1.2658747439270418e-06,2.079472125634911e-10
0.40000000000000213,4.650110752308706,2.999731097282538,-7.605079168764687e-05,4.650109890723688,2.9997317095640392,-7.605086965307037e-05,1.0569850419976912e-06,7.796542350526486e-11
0.4299999999999997,4.650111307390148,2.9997307392996193,-7.605113523061872e-05,4.650109890723688,2.9997317095640392,-7.605086965307037e-05,1.717078012960453e-06,2.655775483426451e-10
0.46000000000000085,4.650110803746907,2.9997306813818776,-7.605152529992889e-05,4.650110285989744,2.9997317112773656,-7.60511503332345e-05,1.1527173098485762e-06,3.7496669438581536e-10
0.5,4.6501111191054045,2.9997305607580516,-7.605160507655865e-05,4.650110681267482,2.999731712990688,-7.605143100306685e-05,1.2326159558747803e-06,1.7407349179991444e-10
0.5300000000000011,4.65011130359993,2.999730707671971,-7.605166408002743e-05,4.650111076556905,2.9997317147040063,-7.605171166261516e-05,1.0323090893350027e-06,4.758258773161859e-11
0.5600000000000023,4.6501119785958,2.9997304044829565,-7.605205213850167e-05,4.6501114718580085,2.9997317164173207,-7.605199231169292e-05,1.4063978687527079e-06,5.982680874956538e-11
0.6000000000000014,4.6501119685484325,2.9997304098571704,-7.605224924261248e-05,4.650111867170796,2.9997317181306298,-7.605227295056894e-05,1.3121954387657238e-06,2.3707956455757025e-11
0.6300000000000026,4.650111824086108,2.999730507524842,-7.605230730638848e-05,4.650111867170796,2.9997317181306298,-7.605227295056894e-05,1.2113722233113258e-06,3.4355819540166435e-11
0.6600000000000001,4.650112701110761,2.9997306909379438,-7.60527587306198e-05,4.650112262495268,2.999731719843935,-7.605255357948936e-05,1.1184950105456773e-06,2.0515113044493934e-10
0.7000000000000028,4.650113348447903,2.9997306966208725,-7.605270761861629e-05,4.650112657831424,2.9997317215572354,-7.605283419835488e-05,1.2358987291000581e-06,1.265797385934268e-10
0.7300000000000004,4.650113586707615,2.999730929812586,-7.605314148933345e-05,4.650113053179264,2.999731723270532,-7.60531148061133e-05,9.561527146368835e-07,2.6683220140811398e-11
0.7600000000000016,4.650113513527976,2.9997310597268454,-7.605334851617356e-05,4.6501134485387885,2.9997317249838242,-7.605339540379984e-05,6.684238493402917e-07,4.688762628211971e-11
0.8000000000000007,4.650114160212509,2.9997308168387744,-7.605366733891954e-05,4.650113843909997,2.999731726697112,-7.605367599125566e-05,9.63270197630011e-07,8.652336117541404e-12
